Area	Edad	Total	
Urbana	11	1	
Rural	12	2	
Urbana	13	2	
Rural	13	3	
Urbana	14	3	
Rural	14	5	
Urbana	15	4	
Rural	15	4	
Urbana	16	7	
Rural	16	4	
Urbana	17	10	
Rural	17	5	
Urbana	18	5	
Rural	18	3	
N/A	18	1	
Urbana	19	12	
Rural	19	3	
Urbana	20	5	
Rural	20	5	
Urbana	21	9	
Rural	21	4	
Urbana	22	6	
Rural	22	5	
Urbana	23	7	
Rural	23	2	
Urbana	24	9	
Rural	24	4	
Urbana	25	9	
Rural	25	5	
Urbana	26	5	
Rural	26	2	
Urbana	27	8	
Rural	27	1	
Urbana	28	7	
Urbana	29	5	
Rural	29	2	
Urbana	30	4	
Rural	30	2	
Urbana	31	3	
Rural	31	4	
N/A	31	1	
Urbana	32	10	
Rural	32	1	
Urbana	33	4	
Rural	33	5	
Urbana	34	4	
Rural	34	4	
Urbana	35	5	
Rural	35	2	
Urbana	36	4	
Rural	36	2	
Urbana	37	4	
Urbana	38	5	
Rural	38	3	
Urbana	39	2	
Rural	39	4	
Urbana	40	6	
Rural	40	1	
Urbana	41	3	
Rural	41	1	
Urbana	42	5	
Rural	42	1	
Urbana	43	3	
Rural	43	1	
Urbana	44	3	
Rural	44	2	
Urbana	45	3	
Rural	45	3	
Urbana	46	9	
Urbana	47	6	
Rural	47	2	
Rural	48	1	
Urbana	49	4	
Urbana	50	2	
N/A	50	1	
Urbana	51	3	
Rural	51	1	
Urbana	52	4	
Rural	52	1	
Urbana	53	4	
Rural	53	2	
Urbana	54	6	
Urbana	55	3	
Rural	55	2	
Urbana	56	2	
Rural	56	3	
Urbana	57	3	
Rural	57	2	
Urbana	58	4	
Rural	58	2	
Urbana	59	4	
Rural	59	1	
Urbana	60	5	
Urbana	61	3	
Urbana	62	3	
Rural	62	2	
Urbana	63	3	
Rural	63	1	
Urbana	64	1	
Rural	64	2	
Urbana	65	2	
Urbana	66	2	
Rural	66	2	
Urbana	67	1	
Rural	67	2	
Urbana	69	3	
Rural	69	3	
Urbana	70	1	
Urbana	71	2	
Rural	71	2	
Urbana	72	1	
Urbana	73	3	
Rural	73	3	
Urbana	74	1	
Rural	74	2	
Urbana	75	3	
Urbana	76	4	
Urbana	77	1	
Urbana	79	1	
Urbana	80	1	
Urbana	82	2	
Urbana	83	1	
Urbana	84	3	
Urbana	85	1	
Rural	86	1	
Rural	87	1	
Rural	88	1	
Urbana	89	1	
Urbana	95	1	
Rural	99	1	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
